Material;Pais1;Share1;WGI1;t1;MatRefinado;Pais2;Share2;WGI2;t2
Aluminium;na;;;;Aluminium;China;0,52;5,83;1,10
Aluminium;na;;;;Aluminium;Russian Federation;0,06;6,20;1,10
Aluminium;na;;;;Aluminium;Other non EU;0,08;0,00;1,00
Aluminium;na;;;;Aluminium;Canada;0,05;2,26;1,00
Aluminium;na;;;;Aluminium;United Arab Emirates;0,04;3,94;1,00
Aluminium;na;;;;Aluminium;India;0,04;5,45;1,00
Aluminium;na;;;;Aluminium;Australia;0,03;2,36;1,00
Aluminium;na;;;;Aluminium;United States;0,03;2,92;1,00
Aluminium;na;;;;Aluminium;Norway;0,02;2,03;1,00
Aluminium;na;;;;Aluminium;Brazil;0,02;5,08;1,00
Aluminium;na;;;;Aluminium;Bahrain;0,02;5,15;1,00
Aluminium;na;;;;Aluminium;Iceland;0,01;2,52;1,00
Aluminium;na;;;;Aluminium;South Africa;0,01;4,65;1,00
Aluminium;na;;;;Aluminium;Saudi Arabia;0,01;5,51;1,00
Aluminium;na;;;;Aluminium;Qatar;0,01;4,03;1,00
Aluminium;na;;;;Aluminium;Mozambique;0,01;5,93;1,00
Aluminium;na;;;;Aluminium;Germany;0,01;2,47;0,80
Aluminium;na;;;;Aluminium;Argentina;0,01;5,47;1,00
Aluminium;na;;;;Aluminium;France;0,01;3,11;0,80
Aluminium;na;;;;Aluminium;Spain;0,01;3,62;0,80
Aluminium;na;;;;Aluminium;na;;;
Aluminium;na;;;;Aluminium;na;;;
Aluminium;na;;;;Aluminium;na;;;
Aluminium;na;;;;Aluminium;na;;;
Aluminium;na;;;;Aluminium;na;;;
Aluminium;na;;;;Aluminium;na;;;
Aluminium;na;;;;Aluminium;na;;;
Antimony;China;0,74;5,83;1,10;Antimony;China;0,59;5,83;1,10
Antimony;Tajikistan;0,08;6,88;1,00;Antimony;Belgium;0,12;2,81;0,80
Antimony;Russian Federation;0,04;6,20;1,00;Antimony;France;0,04;3,11;0,80
Antimony;Myanmar;0,03;6,95;1,00;Antimony;Vietnam;0,03;5,75;1,00
Antimony;Bolivia;0,03;5,97;1,10;Antimony;Bolivia;0,03;5,97;1,10
Antimony;Australia;0,02;2,36;1,00;Antimony;Thailand;0,03;5,50;1,00
Antimony;Turkey;0,02;5,34;1,00;Antimony;Japan;0,02;2,77;1,00
Antimony;South Africa;0,01;4,65;1,00;Antimony;Other non EU;0,02;0,00;1,00
Antimony;Kyrgyz Republic;0,01;6,30;1,00;Antimony;India;0,02;5,45;1,00
Antimony;Kazakhstan;0,01;5,90;1,00;Antimony;Myanmar;0,01;6,95;1,00
Antimony;Other non EU;0,01;0,00;1,00;Antimony;Germany;0,01;2,47;0,80
Antimony;na;;;;Antimony;United States;0,01;2,92;1,00
Antimony;na;;;;Antimony;Korea, Rep.;0,01;3,74;1,00
